Episode,Epsilon,Action Type,Score,Avg Score,Position
0,1.0,random,-200.0,-200.0,-0.48
1,0.99,random,-200.0,-200.0,-0.57
2,0.9801,random,-200.0,-200.0,-0.52
3,0.9703,random,-200.0,-200.0,-0.51
4,0.9606,random,-200.0,-200.0,-0.53
5,0.951,random,-200.0,-200.0,-0.33
6,0.9415,random,-200.0,-200.0,-0.51
7,0.9321,argmax,-200.0,-200.0,-0.6
8,0.9227,random,-200.0,-200.0,-0.62
9,0.9135,argmax,-200.0,-200.0,-0.44
10,0.9044,random,-200.0,-200.0,-0.36
11,0.8953,random,-200.0,-200.0,-0.38
12,0.8864,random,-200.0,-200.0,-0.4
13,0.8775,random,-200.0,-200.0,-0.41
14,0.8687,random,-200.0,-200.0,-0.36
15,0.8601,random,-200.0,-200.0,-0.67
16,0.8515,random,-200.0,-200.0,-0.47
17,0.8429,argmax,-200.0,-200.0,-0.44
18,0.8345,random,-200.0,-200.0,-0.65
19,0.8262,random,-200.0,-200.0,-0.38
20,0.8179,random,-200.0,-200.0,-0.33
21,0.8097,random,-200.0,-200.0,-0.64
22,0.8016,random,-200.0,-200.0,-0.58
23,0.7936,random,-200.0,-200.0,-0.53
24,0.7857,random,-200.0,-200.0,-0.63
25,0.7778,argmax,-200.0,-200.0,-0.46
26,0.77,random,-200.0,-200.0,-0.46
27,0.7623,random,-200.0,-200.0,-0.31
28,0.7547,random,-200.0,-200.0,-0.66
29,0.7472,argmax,-200.0,-200.0,-0.54
30,0.7397,random,-200.0,-200.0,-0.46
31,0.7323,random,-200.0,-200.0,-0.45
32,0.725,random,-200.0,-200.0,-0.23
33,0.7177,random,-200.0,-200.0,-0.52
34,0.7106,random,-200.0,-200.0,-0.49
35,0.7034,argmax,-200.0,-200.0,-0.79
36,0.6964,random,-200.0,-200.0,-0.43
37,0.6894,argmax,-200.0,-200.0,-0.49
38,0.6826,argmax,-200.0,-200.0,-0.46
39,0.6757,random,-200.0,-200.0,-0.58
40,0.669,random,-200.0,-200.0,-0.37
41,0.6623,random,-200.0,-200.0,-0.58
42,0.6557,random,-200.0,-200.0,-0.65
43,0.6491,argmax,-200.0,-200.0,-0.56
44,0.6426,argmax,-200.0,-200.0,-0.3
45,0.6362,argmax,-200.0,-200.0,-0.47
46,0.6298,argmax,-200.0,-200.0,-0.55
47,0.6235,random,-200.0,-200.0,-0.36
48,0.6173,argmax,-200.0,-200.0,-0.37
49,0.6111,argmax,-200.0,-200.0,-0.28
50,0.605,random,-200.0,-200.0,-0.57
51,0.599,random,-200.0,-200.0,-0.49
52,0.593,random,-200.0,-200.0,-0.34
53,0.587,argmax,-200.0,-200.0,-0.39
54,0.5812,random,-200.0,-200.0,-0.66
55,0.5754,random,-200.0,-200.0,-0.25
56,0.5696,random,-200.0,-200.0,-0.5
57,0.5639,random,-200.0,-200.0,-0.68
58,0.5583,argmax,-200.0,-200.0,-0.71
59,0.5527,random,-200.0,-200.0,-0.45
60,0.5472,random,-200.0,-200.0,-0.37
61,0.5417,argmax,-200.0,-200.0,-0.53
62,0.5363,random,-200.0,-200.0,-0.45
63,0.5309,argmax,-200.0,-200.0,-0.46
64,0.5256,argmax,-200.0,-200.0,-0.4
65,0.5203,argmax,-200.0,-200.0,-0.39
66,0.5151,argmax,-200.0,-200.0,-0.29
67,0.51,argmax,-200.0,-200.0,-0.58
68,0.5049,argmax,-200.0,-200.0,-0.36
69,0.4998,random,-200.0,-200.0,-0.42
70,0.4948,argmax,-200.0,-200.0,-0.38
71,0.4899,argmax,-200.0,-200.0,-0.35
72,0.485,argmax,-200.0,-200.0,-0.55
73,0.4801,argmax,-200.0,-200.0,-0.49
74,0.4753,random,-200.0,-200.0,-0.37
75,0.4706,argmax,-200.0,-200.0,-0.44
76,0.4659,random,-200.0,-200.0,-0.1
77,0.4612,argmax,-200.0,-200.0,-0.34
78,0.4566,argmax,-200.0,-200.0,-0.38
79,0.452,argmax,-200.0,-200.0,-0.41
80,0.4475,random,-200.0,-200.0,-0.64
81,0.443,random,-200.0,-200.0,-0.16
82,0.4386,argmax,-200.0,-200.0,-0.32
83,0.4342,argmax,-200.0,-200.0,-0.3
84,0.4299,argmax,-200.0,-200.0,-0.32
85,0.4256,random,-200.0,-200.0,-0.59
86,0.4213,argmax,-200.0,-200.0,-0.51
87,0.4171,argmax,-200.0,-200.0,0.02
88,0.4129,argmax,-200.0,-200.0,-0.35
89,0.4088,random,-200.0,-200.0,-0.47
90,0.4047,argmax,-200.0,-200.0,-0.39
91,0.4007,argmax,-200.0,-200.0,-0.36
92,0.3967,random,-200.0,-200.0,-0.34
93,0.3927,random,-200.0,-200.0,-0.49
94,0.3888,argmax,-200.0,-200.0,-0.77
95,0.3849,argmax,-200.0,-200.0,-0.46
96,0.381,random,-200.0,-200.0,-0.17
97,0.3772,argmax,-200.0,-200.0,-0.27
98,0.3735,random,-200.0,-200.0,-0.51
99,0.3697,argmax,-200.0,-200.0,-0.02
100,0.366,argmax,-200.0,-200.0,-0.44
101,0.3624,random,-200.0,-200.0,-0.39
102,0.3587,random,-200.0,-200.0,-0.29
103,0.3552,argmax,-200.0,-200.0,-0.52
104,0.3516,argmax,-200.0,-200.0,-0.74
105,0.3481,random,-200.0,-200.0,-0.2
106,0.3446,argmax,-200.0,-200.0,-0.09
107,0.3412,random,-200.0,-200.0,-0.23
108,0.3378,argmax,-200.0,-200.0,-0.29
109,0.3344,random,-200.0,-200.0,0.07
110,0.331,argmax,-200.0,-200.0,-0.42
111,0.3277,argmax,-200.0,-200.0,-0.13
112,0.3244,argmax,-200.0,-200.0,-0.56
113,0.3212,argmax,-200.0,-200.0,-0.65
114,0.318,argmax,-200.0,-200.0,-0.8
115,0.3148,argmax,-200.0,-200.0,-0.41
116,0.3117,argmax,-200.0,-200.0,-0.36
117,0.3085,argmax,-200.0,-200.0,-0.06
118,0.3055,random,-200.0,-200.0,-0.13
119,0.3024,random,-200.0,-200.0,-0.45
120,0.2994,argmax,-200.0,-200.0,-0.39
121,0.2964,random,-200.0,-200.0,-0.45
122,0.2934,argmax,-200.0,-200.0,-0.65
123,0.2905,argmax,-200.0,-200.0,-0.15
124,0.2876,random,-200.0,-200.0,0.02
125,0.2847,random,-200.0,-200.0,-0.71
126,0.2819,random,-200.0,-200.0,-0.55
127,0.279,argmax,-200.0,-200.0,-0.29
128,0.2763,argmax,-200.0,-200.0,-0.59
129,0.2735,argmax,-200.0,-200.0,-0.27
130,0.2708,argmax,-200.0,-200.0,-0.83
131,0.268,argmax,-200.0,-200.0,-0.99
132,0.2654,argmax,-200.0,-200.0,-0.17
133,0.2627,argmax,-200.0,-200.0,-0.37
134,0.2601,argmax,-200.0,-200.0,-0.52
135,0.2575,argmax,-200.0,-200.0,-0.49
136,0.2549,random,-200.0,-200.0,0.21
137,0.2524,argmax,-200.0,-200.0,-0.38
138,0.2498,random,-200.0,-200.0,-0.33
