Episode,Epsilon,Action Type,Score,Avg Score,Position
000,1.0000,random,-200.00,-200.00,-0.39
001,0.9900,random,-200.00,-200.00,-0.55
002,0.9801,random,-200.00,-200.00,-0.60
003,0.9703,random,-200.00,-200.00,-0.62
004,0.9606,random,-200.00,-200.00,-0.38
005,0.9510,random,-200.00,-200.00,-0.50
006,0.9415,random,-200.00,-200.00,-0.45
007,0.9321,random,-200.00,-200.00,-0.37
008,0.9227,random,-200.00,-200.00,-0.42
009,0.9135,random,-200.00,-200.00,-0.52
010,0.9044,random,-200.00,-200.00,-0.58
011,0.8953,random,-200.00,-200.00,-0.52
012,0.8864,random,-200.00,-200.00,-0.39
013,0.8775,random,-200.00,-200.00,-0.67
014,0.8687,argmax,-200.00,-200.00,-0.57
015,0.8601,random,-200.00,-200.00,-0.40
016,0.8515,random,-200.00,-200.00,-0.64
017,0.8429,random,-200.00,-200.00,-0.53
018,0.8345,random,-200.00,-200.00,-0.45
019,0.8262,argmax,-200.00,-200.00,-0.50
020,0.8179,random,-200.00,-200.00,-0.45
021,0.8097,random,-200.00,-200.00,-0.58
022,0.8016,random,-200.00,-200.00,-0.44
023,0.7936,random,-200.00,-200.00,-0.43
024,0.7857,random,-200.00,-200.00,-0.50
025,0.7778,random,-200.00,-200.00,-0.38
026,0.7700,random,-200.00,-200.00,-0.63
027,0.7623,random,-200.00,-200.00,-0.56
028,0.7547,random,-200.00,-200.00,-0.63
029,0.7472,random,-200.00,-200.00,-0.53
030,0.7397,random,-200.00,-200.00,-0.54
031,0.7323,argmax,-200.00,-200.00,-0.41
032,0.7250,argmax,-200.00,-200.00,-0.71
033,0.7177,argmax,-200.00,-200.00,-0.51
034,0.7106,random,-200.00,-200.00,-0.68
035,0.7034,random,-200.00,-200.00,-0.70
036,0.6964,random,-200.00,-200.00,-0.52
037,0.6894,random,-200.00,-200.00,-0.60
038,0.6826,random,-200.00,-200.00,-0.42
039,0.6757,argmax,-200.00,-200.00,-0.45
040,0.6690,random,-200.00,-200.00,-0.54
041,0.6623,random,-200.00,-200.00,-0.67
042,0.6557,argmax,-200.00,-200.00,-0.46
043,0.6491,random,-200.00,-200.00,-0.52
044,0.6426,random,-200.00,-200.00,-0.54
045,0.6362,random,-200.00,-200.00,-0.50
046,0.6298,random,-200.00,-200.00,-0.57
047,0.6235,random,-200.00,-200.00,-0.66
048,0.6173,random,-200.00,-200.00,-0.59
049,0.6111,random,-200.00,-200.00,-0.66
050,0.6050,random,-200.00,-200.00,-0.37
051,0.5990,random,-200.00,-200.00,-0.44
052,0.5930,argmax,-200.00,-200.00,-0.61
053,0.5870,random,-200.00,-200.00,-0.56
054,0.5812,random,-200.00,-200.00,-0.56
055,0.5754,argmax,-200.00,-200.00,-0.50
056,0.5696,random,-200.00,-200.00,-0.61
057,0.5639,random,-200.00,-200.00,-0.56
058,0.5583,random,-200.00,-200.00,-0.58
059,0.5527,random,-200.00,-200.00,-0.52
060,0.5472,random,-200.00,-200.00,-0.62
061,0.5417,random,-200.00,-200.00,-0.50
062,0.5363,argmax,-200.00,-200.00,-0.51
063,0.5309,argmax,-200.00,-200.00,-0.55
064,0.5256,random,-200.00,-200.00,-0.72
065,0.5203,random,-200.00,-200.00,-0.50
066,0.5151,argmax,-200.00,-200.00,-0.56
067,0.5100,random,-200.00,-200.00,-0.44
068,0.5049,argmax,-200.00,-200.00,-0.40
069,0.4998,random,-200.00,-200.00,-0.47
070,0.4948,argmax,-200.00,-200.00,-0.66
071,0.4899,argmax,-200.00,-200.00,-0.80
072,0.4850,argmax,-200.00,-200.00,-0.53
073,0.4801,random,-200.00,-200.00,-0.62
074,0.4753,argmax,-200.00,-200.00,-0.62
075,0.4706,argmax,-200.00,-200.00,-0.74
076,0.4659,argmax,-200.00,-200.00,-0.39
077,0.4612,random,-200.00,-200.00,-0.64
078,0.4566,argmax,-200.00,-200.00,-0.60
079,0.4520,argmax,-200.00,-200.00,-0.43
080,0.4475,random,-200.00,-200.00,-0.43
081,0.4430,argmax,-200.00,-200.00,-0.56
082,0.4386,argmax,-200.00,-200.00,-0.74
083,0.4342,random,-200.00,-200.00,-0.44
084,0.4299,random,-200.00,-200.00,-0.44
085,0.4256,random,-200.00,-200.00,-0.47
086,0.4213,argmax,-200.00,-200.00,-0.38
087,0.4171,argmax,-200.00,-200.00,-0.34
088,0.4129,random,-200.00,-200.00,-0.35
089,0.4088,argmax,-200.00,-200.00,-0.53
090,0.4047,random,-200.00,-200.00,-0.60
091,0.4007,argmax,-200.00,-200.00,-0.55
092,0.3967,argmax,-200.00,-200.00,-0.13
093,0.3927,argmax,-200.00,-200.00,-0.50
094,0.3888,argmax,-200.00,-200.00,-0.41
095,0.3849,argmax,-200.00,-200.00,-0.47
096,0.3810,random,-200.00,-200.00,-0.64
097,0.3772,argmax,-200.00,-200.00,-0.14
098,0.3735,random,-200.00,-200.00,-0.30
099,0.3697,random,-200.00,-200.00,-0.48
100,0.3660,argmax,-200.00,-200.00,-0.72
101,0.3624,argmax,-200.00,-200.00,-0.57
102,0.3587,random,-200.00,-200.00,-0.86
103,0.3552,argmax,-200.00,-200.00,-0.11
104,0.3516,argmax,-200.00,-200.00,-0.65
105,0.3481,argmax,-200.00,-200.00,-0.34
106,0.3446,argmax,-200.00,-200.00,-0.56
107,0.3412,argmax,-200.00,-200.00,-0.13
108,0.3378,argmax,-200.00,-200.00,-0.49
109,0.3344,argmax,-200.00,-200.00,-0.36
110,0.3310,random,-200.00,-200.00,-0.53
111,0.3277,argmax,-200.00,-200.00,-0.43
112,0.3244,argmax,-200.00,-200.00,-0.13
113,0.3212,random,-200.00,-200.00,-0.49
114,0.3180,argmax,-200.00,-200.00,-0.15
115,0.3148,argmax,-200.00,-200.00,-0.55
116,0.3117,argmax,-200.00,-200.00,-0.65
117,0.3085,argmax,-200.00,-200.00,-0.98
118,0.3055,argmax,-200.00,-200.00,-0.53
119,0.3024,argmax,-200.00,-200.00,-0.36
120,0.2994,argmax,-200.00,-200.00,-0.70
121,0.2964,argmax,-200.00,-200.00,-0.75
122,0.2934,random,-200.00,-200.00,-0.68
123,0.2905,argmax,-200.00,-200.00,-0.59
124,0.2876,argmax,-200.00,-200.00,-0.25
125,0.2847,random,-200.00,-200.00,-0.65
126,0.2819,argmax,-200.00,-200.00,-0.31
127,0.2790,argmax,-200.00,-200.00,-0.31
128,0.2763,argmax,-200.00,-200.00,-0.78
129,0.2735,argmax,-200.00,-200.00,-0.37
130,0.2708,argmax,-200.00,-200.00,-0.70
131,0.2680,random,-200.00,-200.00,-0.74
132,0.2654,random,-200.00,-200.00,-0.33
133,0.2627,argmax,-200.00,-200.00,-0.51
134,0.2601,random,-200.00,-200.00,-0.54
135,0.2575,argmax,-200.00,-200.00,-0.50
136,0.2549,argmax,-200.00,-200.00,-0.54
137,0.2524,random,-200.00,-200.00,-0.20
138,0.2498,argmax,-200.00,-200.00,-0.52
139,0.2473,random,-200.00,-200.00,-0.27
140,0.2449,argmax,-200.00,-200.00,-0.61
141,0.2424,argmax,-200.00,-200.00,-0.42
142,0.2400,random,-200.00,-200.00,-0.34
143,0.2376,argmax,-200.00,-200.00,-0.34
144,0.2352,argmax,-200.00,-200.00,-0.57
145,0.2329,argmax,-200.00,-200.00,-0.48
146,0.2305,argmax,-200.00,-200.00,-0.79
147,0.2282,argmax,-200.00,-200.00,-0.65
148,0.2259,argmax,-200.00,-200.00,-0.77
149,0.2237,argmax,-200.00,-200.00,-0.49
150,0.2215,argmax,-200.00,-200.00,-0.74
151,0.2192,argmax,-200.00,-200.00,-0.28
152,0.2170,argmax,-200.00,-200.00,-0.26
153,0.2149,argmax,-200.00,-200.00,-0.37
154,0.2127,argmax,-200.00,-200.00,-0.64
155,0.2106,argmax,-200.00,-200.00,-0.49
156,0.2085,argmax,-200.00,-200.00,-0.17
157,0.2064,argmax,-200.00,-200.00,-0.21
158,0.2043,argmax,-200.00,-200.00,-0.75
159,0.2023,argmax,-200.00,-200.00,-0.63
160,0.2003,argmax,-200.00,-200.00,-0.79
161,0.1983,argmax,-200.00,-200.00,-0.70
162,0.1963,argmax,-200.00,-200.00,-0.68
163,0.1943,argmax,-200.00,-200.00,-0.79
164,0.1924,argmax,-200.00,-200.00,-0.70
165,0.1905,argmax,-200.00,-200.00,-0.56
166,0.1886,argmax,-200.00,-200.00,-0.81
167,0.1867,argmax,-200.00,-200.00,-0.73
168,0.1848,argmax,-200.00,-200.00,-0.30
169,0.1830,argmax,-200.00,-200.00,-0.78
170,0.1811,random,-200.00,-200.00,-0.44
171,0.1793,argmax,-200.00,-200.00,-0.33
172,0.1775,argmax,-200.00,-200.00,-0.61
173,0.1757,random,-200.00,-200.00,-0.39
174,0.1740,argmax,-200.00,-200.00,-0.52
175,0.1722,argmax,-200.00,-200.00,-0.52
176,0.1705,random,-200.00,-200.00,-0.74
177,0.1688,argmax,-200.00,-200.00,-0.21
178,0.1671,argmax,-200.00,-200.00,-0.45
179,0.1655,argmax,-200.00,-200.00,-0.65
180,0.1638,argmax,-200.00,-200.00,-0.81
181,0.1622,argmax,-200.00,-200.00,-0.63
182,0.1605,argmax,-200.00,-200.00,-0.30
183,0.1589,argmax,-200.00,-200.00,-0.55
184,0.1574,argmax,-200.00,-200.00,-0.75
185,0.1558,argmax,-200.00,-200.00,-0.40
186,0.1542,argmax,-200.00,-200.00,-0.49
187,0.1527,argmax,-200.00,-200.00,-0.61
188,0.1512,argmax,-200.00,-200.00,-0.76
189,0.1496,argmax,-200.00,-200.00,-0.45
190,0.1481,argmax,-200.00,-200.00,-0.54
191,0.1467,argmax,-200.00,-200.00,-0.42
192,0.1452,argmax,-200.00,-200.00,-0.73
193,0.1437,argmax,-200.00,-200.00,-0.89
194,0.1423,argmax,-200.00,-200.00,-0.76
195,0.1409,argmax,-200.00,-200.00,-0.12
196,0.1395,argmax,-200.00,-200.00,-0.10
197,0.1381,argmax,-200.00,-200.00,-0.09
198,0.1367,argmax,-200.00,-200.00,-0.61
199,0.1353,argmax,-200.00,-200.00,-0.26
200,0.1340,argmax,-200.00,-200.00,-0.29
201,0.1326,argmax,-200.00,-200.00,-0.41
202,0.1313,argmax,-200.00,-200.00,-0.55
203,0.1300,argmax,-200.00,-200.00,-0.60
204,0.1287,random,-200.00,-200.00,-0.32
205,0.1274,argmax,-200.00,-200.00,-0.18
206,0.1261,random,-200.00,-200.00,-0.78
207,0.1249,argmax,-200.00,-200.00,-0.17
208,0.1236,argmax,-200.00,-200.00,-0.38
209,0.1224,argmax,-200.00,-200.00,-0.72
210,0.1212,argmax,-200.00,-200.00,-0.38
211,0.1200,random,-200.00,-200.00,-0.70
212,0.1188,argmax,-200.00,-200.00,-0.51
213,0.1176,argmax,-200.00,-200.00,-0.55
214,0.1164,random,-200.00,-200.00,-0.43
215,0.1152,argmax,-200.00,-200.00,-0.51
216,0.1141,argmax,-200.00,-200.00,-0.51
217,0.1129,argmax,-200.00,-200.00,-0.43
218,0.1118,argmax,-200.00,-200.00,-0.47
219,0.1107,argmax,-200.00,-200.00,-0.11
220,0.1096,argmax,-200.00,-200.00,-0.43
221,0.1085,argmax,-200.00,-200.00,-0.71
222,0.1074,argmax,-200.00,-200.00,-0.66
223,0.1063,argmax,-200.00,-200.00,-0.70
224,0.1053,random,-200.00,-200.00,-0.70
225,0.1042,argmax,-200.00,-200.00,-0.49
226,0.1032,argmax,-200.00,-200.00,-0.55
227,0.1021,argmax,-200.00,-200.00,-0.70
228,0.1011,argmax,-200.00,-200.00,-0.75
229,0.1001,argmax,-200.00,-200.00,-0.35
